id,Presentation,Structural,Temporal,Gratitude,Signature,Status,Deprecation,Duplication,DateTime,Actual,Predicted,,,,
49002,0,0,0,0,0,0,0,0,2017-03-22 16:23,0,0,,,FN,4
50255,0,0,0,0,0,0,0,0,2015-04-28 18:47,0,0,,,,
53939,0,0,0,0,0,0,0,0,2008-11-06 10:00,0,0,,,,
54318,0,0,0,0,0,0,0,0,2008-09-10 15:58,0,0,,,,
54669,0,0,0,0,0,0,0,0,2015-06-07 11:06,0,0,,,,
55449,0,0,0,0,0,0,0,0,2014-09-25 12:46,0,0,,,,
57483,0,0,0,0,0,0,0,0,2017-03-22 16:22,0,0,,,,
60330,0,0,0,0,0,0,0,0,2012-10-06 15:48,0,0,,,,
62268,0,0,0,0,0,0,0,0,2015-12-09 11:22,0,0,,,,
64495,0,0,0,0,0,0,0,0,2008-09-15 18:35,0,0,,,,
65820,0,0,0,0,0,0,0,0,2019-08-08 15:42,0,0,,,,
66921,0,0,0,0,0,0,0,0,2008-09-16 4:54,0,0,,,,
75526,0,0,0,0,0,0,0,0,2008-09-16 18:40,0,0,,,,
75959,0,0,0,0,0,0,0,0,2009-01-30 21:25,0,0,,,,
82971,0,0,0,0,0,0,0,0,2016-09-24 23:53,0,0,,,,
88211,0,0,0,0,0,0,0,0,2013-02-10 4:20,0,0,,,,
89791,0,0,0,0,0,0,0,0,2008-09-18 7:05,0,0,,,,
91110,0,0,0,0,0,0,0,0,2008-10-16 0:17,0,0,,,,
93539,0,0,0,0,0,0,0,0,2012-10-07 14:08,0,0,,,,
94906,0,0,0,0,0,0,0,0,2009-01-30 15:11,0,0,,,,
101055,0,0,0,0,0,0,0,0,2010-06-15 21:16,0,0,,,,
109383,0,0,0,0,0,0,0,0,2017-03-22 16:26,0,0,,,,
114229,0,0,0,0,0,0,0,0,2016-01-12 9:22,0,0,,,,
121724,0,0,0,0,0,0,0,0,2010-08-13 15:30,0,0,,,,
122102,0,0,0,0,0,0,0,0,2017-03-22 16:17,0,0,,,,
123559,0,0,0,0,0,0,0,0,2017-03-22 16:18,0,0,,,,
123817,0,0,0,0,0,0,0,0,2009-01-30 13:57,0,0,,,,
125627,0,0,0,0,0,0,0,0,2008-09-24 6:13,0,0,,,,
127869,0,0,0,0,1,0,0,0,2009-11-10 22:29,1,0,,,,
128279,0,0,0,0,0,0,0,0,2013-03-06 2:50,0,0,,,,
134845,0,0,0,0,0,0,0,0,2016-02-19 11:14,0,0,,,,
136946,0,0,0,0,0,0,0,0,2011-07-21 18:23,0,0,,,,
137975,0,0,0,0,0,0,0,0,2017-03-22 16:19,0,0,,,,
138771,0,0,0,0,0,0,0,0,2009-03-31 8:43,0,0,,,,
141288,0,0,0,0,0,0,0,0,2008-10-08 20:14,0,0,,,,
147391,0,0,0,0,0,0,0,0,2008-09-29 3:40,0,0,,,,
153724,0,0,0,0,0,0,0,0,2017-03-22 16:22,0,0,,,,
157232,0,0,0,0,0,0,0,0,2008-10-01 14:25,0,0,,,,
159255,0,0,0,0,0,0,0,0,2012-07-16 4:51,0,0,,,,
166221,0,0,0,0,0,0,0,0,2017-10-31 16:37,0,0,,,,
166750,0,0,0,0,0,0,0,0,2013-08-12 9:33,0,0,,,,
167569,0,0,0,0,0,0,0,0,2013-10-27 8:15,0,0,,,,
170019,0,0,0,0,0,0,0,0,2008-10-05 9:04,0,0,,,,
171251,0,0,0,0,0,0,0,0,2017-03-22 12:10,0,0,,,,
171301,0,0,0,0,0,0,0,0,2008-10-07 14:07,0,0,,,,
173133,0,0,0,0,0,0,0,0,2016-03-29 3:25,0,0,,,,
176331,0,0,0,0,0,0,0,0,2013-02-04 11:32,0,0,,,,
